typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,50694,3152733.3882287163,0.6267829876017726,0.0,0.75
LH,19118,619538.8445406592,0.12316817190010168,0.0,0.75
HL,32663,626305.5905839726,0.12451344305978998,0.0,0.75
HH,47785,631446.0455009382,0.12553539743833578,0.0,0.75
