measure,gradient_everyday,gradient_difference_emergency,se_cluster_country,p_cluster_country,p_wild_cluster_bootstrap,n_cities,n_countries,inference
mean,-0.19634638708992697,0.13700677346903303,0.04288521321514402,0.0013996062417073075,0.002,67,24,"paired regimes, country-clustered; cross-sectional space-for-time"
gini,0.062042027521563174,-0.0580625842420656,0.025848778780413605,0.02468858146535778,0.029,67,24,"paired regimes, country-clustered; cross-sectional space-for-time"
