city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60,log10_population,slope_density_everyday,slope_ses_everyday,slope_density_emergency,slope_ses_emergency,slope_ses_column,cluster_kmeans,cluster_ward
warszawa,Warszawa,PL,1,False,3334987.4361339696,0.2252665532852789,0.2977801717648681,0.588211969816128,0.5872235063483678,3.7340528372616433,0.4894026686847464,0.3885064024859851,-0.0009884634677601,0.3451045050333434,0.5259626275778037,0.1434101067752672,0.4025414773235685,0.681821586501559,0.3523691672143911,0.2452256928080186,0.1891774608670121,0.1224735906791361,0.0378660751344659,0.0163769698477373,6.523094202142233,-1.1710334216291818,-0.3137949715007259,-0.6461887336432532,-0.3886206283732444,ses_census_employment_share,0,1
hamburg,Hamburg,DE,2,False,3162606.762775488,0.2611195113855363,0.0959388814868352,0.543810605257707,0.492155813002573,3.101997255461906,0.4044354365807611,0.3782622473088199,-0.0516547922551339,0.319130121666354,0.4704859164947671,0.1382828695902227,0.3829464535163352,0.6570126089966171,0.2820083315734684,0.2423027447575821,0.1953077558126661,0.0034547806209497,0.0018853187043083,0.0018679437849832,6.500045195275303,-1.001234015469004,,-0.2667519544999953,,,0,0
amsterdam,Amsterdam,NL,1,False,2829893.042702652,0.2265131293711427,0.1117423821158008,0.5006339334690872,0.3257656293766141,2.03836056543523,0.1976975734814763,0.3533125847612609,-0.1748683040924731,0.2876466399276576,0.4022289639668817,0.0915525687913884,0.2248073601767261,0.6216165818102704,0.1988443335573644,0.2284122673435476,0.1520979503990399,0.0005254466110206,0.00038370391324,0.000382392242438,6.4517700214459,-0.9718897388737776,0.3179065907373506,-0.3927815196013418,0.2403753152932291,ses_census_employment_share,1,0
stockholm,Stockholm,SE,1,False,2549794.642453092,0.2696564237766677,0.2569181334224483,0.4573611210576679,0.5130971387284126,3.158875581898574,0.652304894325412,0.4079938050862244,0.0557360176707446,0.3892956397595961,0.6378917027398388,0.1401387998192036,0.3897358931400159,0.5534612734833022,0.2872509627175034,0.4892084658690278,0.2625363410288521,0.089624642095293,0.0188885874367302,0.0125991701653831,6.4065052042610935,-1.2201641595010353,0.2101379238712685,-0.7354586019193501,0.2527551067655377,ses_census_employment_share,0,1
koeln,Köln,DE,2,False,2438338.019152492,0.2067950809898728,0.0752540126134293,0.5431150107873398,0.4326601451012804,2.5364015058100424,0.460551148076449,0.3828054177701943,-0.1104548656860593,0.330013737928553,0.4918881361540891,0.1258794498885147,0.3392106244541796,0.6488674382889188,0.2645835252979748,0.2109584225101443,0.1451811617509931,0.0025047193548866,0.001274309581549,0.0010477707830225,6.38709391033775,-1.1384932752711934,,-0.4669048892849693,,,0,0
antwerpen,Antwerpen,BE,1,False,1219366.3916443712,0.2893018847376631,0.1148856087844562,0.5222026612722265,0.4060726458041346,2.8723489466185645,0.2911635878302778,0.3652579158135854,-0.1161300154680918,0.3099362818306972,0.4514820826589232,0.1159048433011994,0.3034139824771787,0.6401257785578921,0.2541066981619863,0.3247028348940923,0.2385428270361253,0.0020663106006439,0.0002883419821369,0.0002880092420612,6.086134220762545,-0.6470939581686783,0.2358481688579621,-0.4659911035200207,0.2325206885589676,ses_census_employment_share,0,0
palermo,Palermo,IT,1,False,1006055.4456928088,0.3172819177522462,0.5411433929938518,0.3827611511683947,0.2921096881420899,1.8508817058335525,0.2688369041778088,0.3582069163229641,-0.0906514630263048,0.289480308594543,0.4106395839235839,0.1161526926247878,0.30259920362077,0.5083984319432816,0.1522543803755634,0.5267260638677341,0.3354385117129431,0.2101495264185809,0.0302706179670947,0.0294375436656631,6.002621916201895,-1.216879286325934,-0.412843194731287,-0.5974605573404332,-0.1579340488015016,ses_census_employment_share,1,0
brno,Brno,CZ,1,False,745397.2083868613,0.2863624270115376,0.1697961313509135,0.5608436652771648,0.4566440595163126,3.175289834151682,0.6014798459907609,0.4016759415510567,-0.1041996057608521,0.3692116376864836,0.5851975659949662,0.1576139162895435,0.460129222059198,0.6421788450265022,0.2961381487606024,0.3618268586720031,0.2864164910449561,0.0415660816646214,4.223320239457746e-05,1.7706129650997945e-05,5.8723877619294225,-1.228123904795289,-0.1288636338453753,-1.043148104194206,-0.1979186411924209,ses_census_employment_share,0,1
aarhus,Aarhus,DK,1,False,525544.5346378079,0.3360203468150475,0.2691804629942821,0.3943680633984804,0.4380034095537459,3.480192203790377,0.3837112526824441,0.3733041061355427,0.0436353461552655,0.3095601600696881,0.4540745819230175,0.1192465894546815,0.3123471133625103,0.4939342833141213,0.2672240455537618,0.6071767355811766,0.3555397867613664,0.1476153893496025,0.0109631630887108,0.0005634254922471,5.720609524033045,-1.218714586919095,0.4308877074336977,-0.9783311560667248,0.4973658059612862,ses_census_employment_share,0,1
