measure,gradient_everyday,gradient_difference_emergency,se,p,n_cities,interpretation,inference
gini,0.09537276382459843,-0.03238317387970529,0.06717401560588208,0.6297499159307066,10,emergency deprivation flattens relative to everyday along the size gradient,cross-sectional space-for-time
mean,-0.2021214715712874,-0.17559392099392046,0.16685835642407892,0.2926375438915987,10,emergency deprivation flattens relative to everyday along the size gradient,cross-sectional space-for-time
