outcome,elasticity,p_cluster_country,loo_min,loo_max,loo_worst_city,loo_max_p,cooks_top_city,elasticity_huber,elasticity_median_reg,elasticity_excl_desert,p_excl_desert
mean_everyday,-0.19624348711093054,8.092519841065061e-18,-0.2043359423180958,-0.18475593549782737,athina,1.150679019614045e-13,athina,-0.19629514704241363,-0.22320580318466007,-0.20326522056404112,2.9744200518385322e-18
mean_emergency,-0.05831687312964162,0.16678951546474186,-0.07255834557146168,-0.04409145010384383,bucuresti,0.3340295965877146,bucuresti,-0.06612114080902101,-0.05475190556738024,-0.07619904592399072,0.03624841258336906
gini_everyday,0.06197097554198471,0.0009310650591154402,0.056170213295893785,0.06945755742844786,napoli,0.007227212725796198,napoli,0.06558270753920761,0.0812706407795644,0.061273393911762467,0.001491602645112609
