outcome,slope_per_log10_pop,se,p,n_cities,r2,inference
divergence_gap,-0.03744548940173176,0.06415665338685653,0.5594510025070156,10,0.031064625954443148,cross-sectional space-for-time
spearman_rho,0.006606229445078271,0.10589683988742427,0.9502573296756778,10,0.00026536139712640683,cross-sectional space-for-time
compounding_pop_share_50,0.0041554940541392305,0.026275526445190586,0.8743380158432423,10,0.001994788044594964,cross-sectional space-for-time
