regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.4396228247659839,0.31627041242416376,DLF: fraction of the saturation ceiling Lmax,0.0414963027876428,ses_census_employment_share
emergency,0.8284647344705235,0.27280101167786036,DCF: multiples of g(15 min) [anchored],0.11218634904414694,ses_census_employment_share
