regime,weighted_mean,gini,units
everyday,0.1584369583711282,0.5577532847285077,DLF: fraction of the saturation ceiling Lmax
emergency,0.6214556236544913,0.43788545486368924,DCF: multiples of g(15 min) [anchored]
