regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.2516150485340333,0.4980008125541087,DLF: fraction of the saturation ceiling Lmax,0.1626546971266253,ses_census_employment_share
emergency,0.31268568119350665,0.49153697591983603,DCF: multiples of g(45 min) [anchored],0.23817002947103585,ses_census_employment_share
