typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,36640,1906841.4272481436,0.6245018077159468,0.0003690526450390903,0.75
LH,15503,383161.21435434744,0.12548755632829475,0.0003690526450390903,0.75
HL,28352,383612.40307374625,0.12563532329352806,0.0003690526450390903,0.75
HH,58623,379765.11161542544,0.12437531266223038,0.0003690526450390903,0.75
