regime,weighted_mean,gini,units
everyday,0.17764342341252545,0.6155437474512325,DLF: fraction of the saturation ceiling Lmax
emergency,0.5999001185105521,0.44917095173189187,DCF: multiples of g(15 min) [anchored]
