level,regime,service,n_facilities,pop_mean_time_min,pop_median_time_min,pop_p90_time_min_reachable,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share,mean_deprivation,pop_share_beyond_45min,pop_share_beyond_60min
service,everyday,gp,162.0,6.218783457993623,5.292317828427638,13.0,0.33676649713290324,0.30903457191534983,0.3090128609387071,0.0,0.4049664243927037,,
service,everyday,pharmacy,218.0,4.758329672683174,3.8642045889259076,10.496141837309255,0.22430435237090154,0.21225227382631198,0.21225227382631198,0.0,0.28587565044122093,,
service,everyday,supermarket,208.0,5.026188350923709,4.0,10.848121160242313,0.26945160968340975,0.256738910201331,0.256738910201331,0.0,0.3317882398978075,,
service,everyday,school_primary,333.0,4.8252519681830774,3.959975493280746,10.051846031639787,0.14369142378612607,0.1322054169405552,0.1322054169405552,0.0,0.2140804711316291,,
service,everyday,school_secondary,333.0,4.8252519681830774,3.959975493280746,10.051846031639787,0.14369142378612607,0.1322054169405552,0.1322054169405552,0.0,0.2140804711316291,,
service,everyday,green_space_local,682.0,3.9730758168842275,2.8872776952990944,10.0,0.14212603047686037,0.12906550247551896,0.12906358829357012,0.0,0.1980641917697827,,
service,everyday,green_space_district,682.0,3.9730758168842275,2.8872776952990944,10.0,0.14212603047686037,0.12906550247551896,0.12906358829357012,0.0,0.1980641917697827,,
service,emergency,emergency_dept_hospital,4.0,14.85462524768883,13.0,27.0,,0.0607276247262727,1.7706129650997945e-05,0.0,0.17652095724272757,0.0012535246988986776,1.7706129650997945e-05
service,emergency,ambulance_station,5.0,14.048656397259226,11.0,27.0,,0.044389246965057035,1.7706129650997945e-05,0.0,0.16299241028568853,3.4494535297826375e-05,1.7706129650997945e-05
