regime,weighted_mean,gini,units
everyday,0.19172215087624891,0.5590299296985124,DLF: fraction of the saturation ceiling Lmax
emergency,0.01684536157865126,0.5311335654866681,DCF: multiples of g(45 min) [anchored]
