level,regime,service,n_facilities,pop_mean_time_min,pop_median_time_min,pop_p90_time_min_reachable,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share,mean_deprivation,pop_share_beyond_8min,pop_share_beyond_45min,pop_share_beyond_60min
service,everyday,gp,308.0,5.4226619589506715,4.405460235098818,12.0,0.15183286090361547,0.12688761705526444,0.12663766764271664,0.0,0.2289492334122479,,,
service,everyday,pharmacy,101.0,6.597366077684927,5.6338273112159705,13.201057697081028,0.2283869755954633,0.1850698019436267,0.18451301957526633,0.0,0.30622412425181755,,,
service,everyday,supermarket,197.0,5.538342706797368,4.538873054277285,11.5,0.15105813846695695,0.13204453638987732,0.13204453638987732,0.0,0.2311851010521357,,,
service,everyday,school_primary,214.0,5.335167980060048,4.66526793416187,10.5,0.08425184249039491,0.0789344142608616,0.0789344142608616,0.0,0.17545213375636337,,,
service,everyday,school_secondary,214.0,5.335167980060048,4.66526793416187,10.5,0.08425184249039491,0.0789344142608616,0.0789344142608616,0.0,0.17545213375636337,,,
service,everyday,green_space_local,363.0,5.067048974435964,4.21137010837974,10.746143977914056,0.0968856593077678,0.07924225295165235,0.07924225295165235,0.0,0.1743406738398934,,,
service,everyday,green_space_district,363.0,5.067048974435964,4.21137010837974,10.746143977914056,0.0968856593077678,0.07924225295165235,0.07924225295165235,0.0,0.1743406738398934,,,
service,emergency,emergency_dept_hospital,3.0,13.916326847908289,13.0,22.0,0.35271617651753673,0.004690344067020556,0.001444067733080562,0.0,1.0232183177436454,0.8225723889285613,0.0014514432704481166,0.001444067733080562
service,emergency,ambulance_station,18.0,7.065682322858784,7.0,11.0,0.018689246289859178,0.001444067733080562,0.0008401337629883798,0.0,0.3572938905913239,0.30044378424540225,0.001444067733080562,0.0009170349317777415
