regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.45353359621477,0.3265412003150379,DLF: fraction of the saturation ceiling Lmax,0.10660407417671552,ses_census_employment_share
emergency,0.16754603360356257,0.47760240601143306,DCF: multiples of g(45 min) [anchored],0.10199425261189368,ses_census_employment_share
