level,regime,service,n_facilities,pop_mean_time_min,pop_median_time_min,pop_p90_time_min_reachable,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share,mean_deprivation,pop_share_beyond_45min,pop_share_beyond_60min
everyday,everyday,everyday,,14.4901526426285,4.8356451223935215,31.122241002746467,0.33971104608273595,0.13235051582282284,0.023393649645483548,0.00014142620315889728,0.19128131231461581,,
emergency,emergency,emergency,,10.045320442351427,8.5,16.5,,0.011245115408590559,1.5956725055385672e-06,0.00014142620315889728,0.09284932936297705,0.0007059534440293966,0.00034615906107300604
