regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.2830976695447878,0.29734748069286204,DLF: fraction of the saturation ceiling Lmax,-0.08028645676812074,ses_census_employment_share
emergency,0.18847520244451563,0.23127099716769864,DCF: multiples of g(45 min) [anchored],0.06495059695638702,ses_census_employment_share
