typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,3040,296836.12243630446,0.2950501609498695,2.353952749810184e-06,0.5
LH,2531,206191.92581840558,0.2049513394797111,2.353952749810184e-06,0.5
HL,8203,211792.47389802913,0.21051819097587626,2.353952749810184e-06,0.5
HH,28632,291232.55533308664,0.2894803085945431,2.353952749810184e-06,0.5
