outcome,elasticity,se_cluster_country,mde_80pct_power,moran_I_resid,moran_expected,moran_p_perm,elasticity_gp_control,p_wild_gp_control,gp_density_coef,gp_density_p_cluster,quadratic_coef,p_wild_quadratic,quadratic_coef_grade_ctrl,p_wild_quadratic_grade_ctrl,p_strata_wald_cluster,strata_means
mean_everyday,-0.19636317446974125,0.022810055172337744,0.06386815448254568,0.06117036165234462,-0.015151515151515152,0.4063,-0.1844972236265732,0.0002,-0.12521542400114336,8.354210511350754e-08,-0.022658604329885458,0.2352,-0.0006325766960757415,0.958,1.5316186969997119e-19,>5M: 0.171; 1-5M: 0.267; 250k-1M: 0.310; 100-250k: 0.394
mean_emergency,-0.05934221356710008,0.04253187422944478,0.11908924784244537,0.23248105636568603,-0.015151515151515152,0.0014,-0.04841165782670295,0.2838,-0.11534466893480708,0.18335545961059674,-0.1694123648282516,0.001,-0.1037243929106545,0.0104,2.372007512931155e-11,>5M: 0.702; 1-5M: 1.563; 250k-1M: 1.690; 100-250k: 1.152
gini_everyday,0.06204589884976336,0.018652259995993604,0.05222632798878209,0.19711383956772552,-0.015151515151515152,0.0048,0.05061528592142253,0.0004,0.12062152147201834,1.2852714379707534e-06,0.0033838338500191342,0.7562,0.0020300782286144167,0.8732,0.05225144498921237,>5M: 0.526; 1-5M: 0.483; 250k-1M: 0.460; 100-250k: 0.433
gini_emergency,0.0039688937942952834,0.017713708251616424,0.04959838310452598,0.38755331428407697,-0.015151515151515152,0.0001,0.005645584943025306,0.7998,-0.017693280199965952,0.46635996928602985,0.0044365109010297485,0.821,0.03313142222213327,0.042,0.758780243300679,>5M: 0.439; 1-5M: 0.472; 250k-1M: 0.439; 100-250k: 0.466
