city,name,country,regime,service,n_facilities,pop_median_time_min,pop_mean_time_min,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share
kobenhavn,København,DK,emergency,ambulance_station,8.0,15.0,15.4915309525663,0.4493877885346155,0.0370941454616473,0.0003713971374816,9.409472397769646e-05
koeln,Köln,DE,emergency,ambulance_station,61.0,6.0,7.074218300630943,0.0228508159973617,0.0015006743521965,6.192297786494808e-06,0.0002092671147314
krakow,Kraków,PL,emergency,ambulance_station,11.0,12.0,14.710773024373498,0.3313295406063845,0.0816841460748604,0.0,4.00606884883627e-07
landshut,Landshut,DE,emergency,ambulance_station,6.0,7.0,8.786136298654368,0.1161369786372479,4.696282749316632e-05,0.0,0.0
lisboa,Lisboa,PT,emergency,ambulance_station,5.0,17.0,17.683872476668967,0.5514711086818533,0.0749914810448858,0.0004869519674653,2.4896942753291737e-05
ljubljana,Ljubljana,SI,emergency,ambulance_station,2.0,34.0,33.20406054061654,0.9302386189429191,0.6976698052562721,0.082420625579715,0.0008242001926261
lodz,Łódź,PL,emergency,ambulance_station,1.0,17.0,19.60890913009891,0.5984886118774196,0.137779337932396,0.0019518683728324,0.0
lomza,Łomża,PL,emergency,ambulance_station,1.0,8.0,12.61590063054401,0.3112136488459893,0.0703299327738806,0.0,0.0
luxembourg,Luxembourg,LU,emergency,ambulance_station,7.0,13.0,13.45216899169372,0.3257083303705343,0.0043156778499232,0.0006393538646572,0.0001198844495118
madrid,Madrid,ES,emergency,ambulance_station,122.0,7.0,8.503330211225254,0.1058522213890969,0.0088439196067832,4.0990668009360113e-05,0.0001414262031588
milano,Milano,IT,emergency,ambulance_station,91.0,7.0,8.261052154052743,0.0832026280279485,0.0005084065752372,1.3572451429292872e-06,0.0
munchen,München,DE,emergency,ambulance_station,78.0,7.0,7.314615716036878,0.0323496694205022,0.0031951059229195,0.0005959305642278,0.000369052645039
napoli,Napoli,IT,emergency,ambulance_station,10.0,12.0,13.127183524263282,0.3287142634257375,0.0228960204555436,0.0007391067715631,0.0
oslo,Oslo,NO,emergency,ambulance_station,7.0,19.0,20.37752250220801,0.6595762146568167,0.1477299435536947,0.003361148054706,0.000722064923502
palermo,Palermo,IT,emergency,ambulance_station,1.0,37.0,36.6846327031313,0.9810010394039236,0.7635419251234313,0.0294287819164478,2.353952749810184e-06
palma_de_mallorca,Palma de Mallorca,ES,emergency,ambulance_station,3.0,14.0,17.80091694752111,0.4373664176815913,0.1296896768743152,0.000447981297375,0.0001240564193465
paris,Paris,FR,emergency,ambulance_station,107.0,9.0,11.137443532641065,0.2193466733759465,0.0357160625812516,0.0006474218505622,0.00028082037673
porto,Porto,PT,emergency,ambulance_station,9.0,13.0,14.401265315042243,0.3857162509149294,0.0294282060445179,0.0,9.78175199907707e-05
praha,Praha,CZ,emergency,ambulance_station,15.0,10.0,12.68850467202834,0.2846619835373672,0.0292446534806515,0.0003593158962294,0.0003501534172989
riga,Rīga,LV,emergency,ambulance_station,14.0,10.0,14.9423693656279,0.3460868576770934,0.1482000071134747,0.0123485269184094,0.0101002097830844
roma,Roma,IT,emergency,ambulance_station,22.0,14.0,16.03512337956065,0.4111704057916088,0.0934960628161996,0.0005928679731612,0.0002464793215012
sittard_geleen,Sittard-Geleen,NL,emergency,ambulance_station,2.0,11.0,11.295336764464194,0.1620165721996232,9.491901413744868e-05,3.84148121461546e-05,5.650420199129408e-05
sofia,Sofia,BG,emergency,ambulance_station,1.0,13.0,16.97875384186158,0.4029913480027415,0.1316716443708743,0.0089652644134338,0.0040638430395907
stavanger,Stavanger,NO,emergency,ambulance_station,4.0,17.0,19.256217227693583,0.5683906906920189,0.1671838344945813,0.0053134594670952,0.0023275570920877
stockholm,Stockholm,SE,emergency,ambulance_station,4.0,17.0,18.966692517695414,0.6011052202407013,0.1202003412324754,0.0125292559044606,0.0022773477825569
szeged,Szeged,HU,emergency,ambulance_station,3.0,9.0,11.419404713333778,0.2428865646043909,0.041284933926312,0.0,7.912695031528352e-05
tallinn,Tallinn,EE,emergency,ambulance_station,5.0,12.0,15.730024223061331,0.3582559253447058,0.1358321849193711,0.0322641009394569,0.0096514305155998
toulon,Toulon,FR,emergency,ambulance_station,5.0,11.0,12.289193600149549,0.307372868433291,0.0113770023536858,0.0008442572417862,0.0007117881025811
