city,sensitive_pop_share,stable_pop_share
aalborg,0.1785864767641346,0.8214135232358654
aarhus,0.1758929517965287,0.8241070482034714
alicante,0.2999379627026987,0.7000620372973013
amersfoort,0.152923523323565,0.8470764766764349
amsterdam,0.1529419450239457,0.8470580549760542
antwerpen,0.1417523246936223,0.8582476753063777
apeldoorn,0.1623949508541721,0.8376050491458279
arezzo,0.1301170887354945,0.8698829112645055
athina,0.1507448925126844,0.8492551074873156
barcelona,0.1365735318359241,0.8634264681640759
berlin,0.092588027632041,0.907411972367959
bilbao,0.1745357774093485,0.8254642225906514
braila,0.1306242478281967,0.8693757521718033
bratislava,0.136443835005018,0.8635561649949819
brno,0.0986899671434673,0.9013100328565328
bruxelles,0.1591561145585948,0.8408438854414051
bucuresti,0.1221627218755939,0.877837278124406
budapest,0.1019111943066018,0.8980888056933981
caserta,0.361427516340569,0.638572483659431
chemnitz,0.0809437973832137,0.9190562026167862
cosenza,0.0791543935268292,0.9208456064731708
goteborg,0.2139762722338887,0.7860237277661113
grenoble,0.108283711391707,0.891716288608293
hamburg,0.0941536843451768,0.9058463156548232
helsingborg,0.1337200543493401,0.8662799456506598
helsinki,0.2306304121332694,0.7693695878667306
jaen,0.1646572714167741,0.8353427285832259
katowice,0.1464278081738141,0.8535721918261859
kobenhavn,0.2683764772063534,0.7316235227936465
koeln,0.128960353492344,0.871039646507656
krakow,0.0873887590118144,0.9126112409881856
lahti,0.1006813954502363,0.8993186045497636
landshut,0.1909708766180276,0.8090291233819723
lisboa,0.2591604134335939,0.7408395865664061
ljubljana,0.1807701501225083,0.8192298498774916
lodz,0.0964800789385805,0.9035199210614194
lomza,0.1059736180627748,0.8940263819372252
luxembourg,0.2121273998027004,0.7878726001972995
madrid,0.1601456147060362,0.8398543852939637
milano,0.2089075972662865,0.7910924027337134
munchen,0.0869069369769979,0.913093063023002
napoli,0.2449864858434439,0.755013514156556
norrkoping,0.1117778516868209,0.888222148313179
oslo,0.0984064027624616,0.9015935972375384
palermo,0.3030936799621381,0.6969063200378619
palma_de_mallorca,0.2384623612780816,0.7615376387219184
paris,0.1173876043425243,0.8826123956574756
porto,0.1434166060453219,0.8565833939546781
praha,0.153544391142853,0.846455608857147
riga,0.1490208600832118,0.8509791399167882
roma,0.1660286396508116,0.8339713603491884
sittard_geleen,0.2928629256451919,0.707137074354808
sofia,0.1397554994639761,0.8602445005360239
stavanger,0.1148848839874734,0.8851151160125266
stockholm,0.2383778469517909,0.761622153048209
szeged,0.0913131675435555,0.9086868324564444
talavera_de_la_reina,0.0520459113767768,0.9479540886232232
tallinn,0.2317508189520553,0.7682491810479447
toulon,0.1778355010197368,0.8221644989802632
turku,0.0972421946224386,0.9027578053775612
vasteras,0.1849483692122657,0.8150516307877342
vicenza,0.3061073990532432,0.6938926009467568
vilnius,0.0718480899980878,0.928151910001912
warszawa,0.0952814755914837,0.9047185244085164
wroclaw,0.1162816290478848,0.8837183709521151
zagreb,0.1455321653864989,0.8544678346135011
zilina,0.0831792531954724,0.9168207468045276
