city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60,log10_population,slope_density_everyday,slope_density_emergency,slope_ses_everyday,slope_ses_emergency,slope_ses_column,cluster_kmeans,cluster_ward
paris,Paris,FR,1,False,12886280.33104566,0.1351634020415426,0.7290459300502455,0.6244856988145447,0.4970117534057788,3.45724587856476,0.4973750308873457,0.3886075284568132,-0.1274739454087659,0.3336449916720923,0.4984471772374468,0.1491856493795908,0.4271222994403481,0.7031599239981003,0.3031236390698378,0.1685486345999282,0.1057455320974056,0.0188180647886716,0.0021430105659662,0.0006699095879866,7.1101275748531005,-1.2541040919594024,-0.9265313194796106,,,,0,0
madrid,Madrid,ES,1,False,7601393.680988651,0.1907821420990846,0.6246429199599949,0.5332013796626679,0.4385771598610384,2.8914514821204933,0.3943545857276477,0.374336982888906,-0.0946242198016295,0.3161444230833798,0.4634887190521528,0.1268314386043689,0.3375834565991921,0.632367351540752,0.2655656222218936,0.338185358441817,0.1311991173074291,0.0111174497078482,0.0005646647872004,0.0002047618166003,6.880893225500916,-1.3289519415802058,-1.0423199010417108,-0.1794984744234988,-0.1532100223147298,ses_census_employment_share,0,0
barcelona,Barcelona,ES,1,False,5945709.4630487785,0.1748229811431589,0.842344459603607,0.5446634982689611,0.4183965877764759,3.0170429735287585,0.3642373664068634,0.3723094283152187,-0.1262669104924851,0.3094937689968695,0.4504400038920736,0.1259127529007808,0.3368660303577416,0.6398291734804114,0.2479595776600157,0.3298585964164278,0.1122334918353947,0.0107989946011001,0.0009766597443804,0.0007598764892311,6.774203683597895,-1.2557165416515692,-0.8611971518569309,-0.0380899177912673,-0.0701035548191978,ses_census_employment_share,0,0
milano,Milano,IT,1,False,5030023.868854286,0.1826987833849911,0.6113315139813978,0.4003455969646718,0.4003230124369806,2.7993858290843616,0.3681027259045855,0.3737223294367865,-2.2584527691271727e-05,0.318648432460745,0.4681598286315175,0.1255353974383358,0.3363603299637045,0.5279817943093074,0.2506272565948268,0.325863953884883,0.0917571711293078,0.0023798272743002,5.508624473704106e-05,3.438761369413926e-05,6.701570045908236,-0.9656135065448198,-1.1485971303276707,-0.2016658659571759,-0.4695366578090657,ses_census_employment_share,0,0
berlin,Berlin,DE,1,False,4875654.985936167,0.1584369583711282,0.6214556236544913,0.5577532847285077,0.4378854548636892,2.760732171883661,0.3783734706851544,0.3740433863974494,-0.1198678298648184,0.3167729408260077,0.4648207461463159,0.1150205284222996,0.2967746583070766,0.6411491360743977,0.2504024966077489,0.1044503655809923,0.0820696481418343,0.0037191874178919,0.000475697854316,0.0004592864838093,6.688032966223328,-1.279964384373652,-1.0160886131362488,,,,0,0
roma,Roma,IT,1,False,4432844.861252554,0.287538519797787,1.137249685226472,0.4238900667715766,0.5033758183337576,3.965749879960145,0.4762298804879937,0.3872014996268298,0.0794857515621809,0.3416642755761497,0.5173798666345014,0.1308574283552409,0.3549404427454359,0.5137052832449327,0.3098160320798527,0.5841384137663598,0.2415033554568158,0.0455914607112471,0.006448920264498,0.0009826058574027,6.646682532318751,-1.1381122442304734,-0.7017131359198138,-0.7618318451233713,-0.754043025002891,ses_census_employment_share,0,0
athina,Athina,EL,1,False,3522263.700136085,0.1031855634584483,0.7336229957734932,0.6087253620756289,0.5004321559659072,3.2101212900203344,0.2751718557357404,0.3608268659003896,-0.1082932061097217,0.2739368499867703,0.378200731529521,0.1109435087279985,0.2836125930022698,0.6832831316534467,0.2986627371868126,0.1084994698404067,0.0569693908051843,0.0311300357616969,0.0063354998911177,2.947719096021804e-05,6.546821867027872,-1.723496312326899,-1.4584867592862718,-0.5101060297611391,-0.3911186733616869,ses_census_employment_share,0,0
bruxelles,Bruxelles,BE,1,False,3521497.075765567,0.1820930991022223,1.290152127907925,0.583371679632806,0.2864902062501516,1.8902413164529148,0.3986461572209946,0.3781015972615961,-0.2968814733826543,0.3322876979023879,0.4980401502853236,0.1141247582734327,0.2961103080814977,0.6623379547581434,0.1734705968998766,0.2690955440746103,0.1752566590452335,0.007773921764628,0.0003598256726396,0.0003110275746742,6.546727332092426,-0.932095704685963,-0.4043555005180984,0.3306206135533379,0.1950972391376935,ses_census_employment_share,0,0
napoli,Napoli,IT,1,False,3457649.4768137746,0.3260319599928562,0.8328600388373132,0.3048761406716622,0.3835654271112557,2.4451323566575582,0.1468138964823968,0.3460144844181292,0.0786892864395935,0.2703408265377978,0.3684400859499029,0.1053348937844035,0.265737333672611,0.3987480536599788,0.2304178987067264,0.6249033076363664,0.3453265181439223,0.0129210034691913,0.0007676088324243,0.0007391067715631,6.538780964067587,-0.9863703158553124,-0.5690821399045206,-0.2688119180073119,0.1441956653693885,ses_census_employment_share,0,0
warszawa,Warszawa,PL,1,False,3334987.4361339696,0.2247138590901258,1.99007235968673,0.589241291385034,0.589923422197628,3.863542588073224,0.4933714472740254,0.389127854428885,0.0006821308125939,0.3473003575237064,0.5280484620288773,0.1436912201651541,0.4038694275877002,0.6825109559558515,0.3537923337799503,0.2438111145148602,0.1886258220779067,0.1215362990559354,0.0378451773399371,0.0163477524611487,6.523094202142233,-1.1702478336924882,-0.6459654753682365,-0.3150041481499749,-0.3908061997787221,ses_census_employment_share,1,1
