outcome,slope_per_log10_pop,se,p,n_cities,r2,inference
divergence_gap,-0.06565605630466399,0.026580131950893395,0.013506857631434992,67,0.06250235665401271,cross-sectional space-for-time
spearman_rho,-0.05605007033016822,0.03792281161020506,0.13940668586939003,67,0.02961264574738942,cross-sectional space-for-time
compounding_pop_share_50,-0.019083738585332397,0.01000902806974647,0.056565599283321125,67,0.05374934126629349,cross-sectional space-for-time
