outcome,n_cities,n_countries,F_city,p_city_anova_anticonservative,F_country_means,p_country_anova,p_permutation_countries,median_CEE,median_rest,note
spearman_rho,62,20,4.076839549034908,0.010735757188612909,7.235142625337742,0.0027683088960428056,0.0029997000299970002,0.583,0.3839,five desert capitals excluded; countries permuted across regions
gini_everyday,62,20,6.961961200582131,0.0004425342100663851,1.516054618985861,0.2485613600627825,0.2612738726127387,0.5224,0.4578,five desert capitals excluded; countries permuted across regions
gini_emergency,62,20,7.285901366591119,0.0003148929028579664,5.601668204344403,0.008038858562318093,0.0059994000599940004,0.5067,0.4368,five desert capitals excluded; countries permuted across regions
divergence_gap,62,20,9.464978025335123,3.490930084333367e-05,3.614548262601883,0.036400384005776255,0.034596540345965404,-0.0037,-0.0539,five desert capitals excluded; countries permuted across regions
compounding_pop_share_50,62,20,4.563322538611149,0.006148486303911511,8.677187065852383,0.001196849797070027,0.0015998400159984002,0.3587,0.3186,five desert capitals excluded; countries permuted across regions
compounding_intensity,62,20,4.23392406509978,0.008960086569638747,7.685968032462522,0.002110113087030096,0.0022997700229977,0.3969,0.374,five desert capitals excluded; countries permuted across regions
mean_emergency,62,20,7.741426534149123,0.00019630734159486416,4.572539473172358,0.017000093904055522,0.0197980201979802,1.441,1.0621,five desert capitals excluded; countries permuted across regions
