indicator,fligner_statistic,p_fligner_city_anticonservative,p_permutation_countries,sd_North,iqr_North,mad_North,sd_West,iqr_West,mad_West,sd_South,iqr_South,mad_South,sd_CEE,iqr_CEE,mad_CEE
spearman_rho,5.427175660828734,0.1430597848447663,0.16278372162783722,0.14398619814555233,0.2405,0.1552,0.10234842593643867,0.09994999999999998,0.05310000000000001,0.18732210698341478,0.2661,0.10289999999999999,0.15446054946848164,0.15994999999999998,0.08185
gini_everyday,7.165185176504737,0.06681503190996048,0.1650834916508349,0.07456147867742499,0.08189999999999997,0.05339999999999995,0.07931323948959174,0.09789999999999999,0.05694999999999997,0.10151305077242129,0.14739999999999998,0.10769999999999996,0.06021829936943891,0.08264999999999995,0.024399999999999977
gini_emergency,12.507730812692216,0.005831650093972377,0.027597240275972403,0.05794015590820126,0.07500000000000001,0.0403,0.06475165763643945,0.09190000000000004,0.042899999999999994,0.07582023631784668,0.06372499999999998,0.031049999999999994,0.12992857106482533,0.1659,0.08239999999999997
divergence_gap,11.821089139921325,0.008021850553408863,0.009999000099990002,0.07373780646699563,0.0778,0.045399999999999996,0.07237524409860965,0.056749999999999995,0.034199999999999994,0.10233201570333939,0.1447,0.07819999999999999,0.1586888103374519,0.22642500000000002,0.0948
compounding_pop_share_50,3.8500526039145537,0.2781176070836396,0.24137586241375864,0.038043812462300194,0.0615,0.03500000000000003,0.02608930496071778,0.029274999999999995,0.01479999999999998,0.04444620748137151,0.059425000000000006,0.02564999999999998,0.03977420348866705,0.05332500000000001,0.026999999999999996
compounding_intensity,4.950570378950535,0.17545261281788474,0.18958104189581043,0.01674160715870523,0.0262,0.014100000000000001,0.012913557152594844,0.012575000000000003,0.006099999999999994,0.023214454168748854,0.035274999999999945,0.014149999999999996,0.020419285904313723,0.019774999999999987,0.011399999999999993
mean_emergency,8.607405016048363,0.034992758760046525,0.06269373062693731,0.4813694465818994,0.6982000000000002,0.2923,0.29691710150590295,0.30352499999999993,0.12880000000000003,0.6790492403719138,0.39712499999999995,0.22675000000000012,1.294393411846483,1.1175499999999998,0.4519500000000001
