city,country,emergency_median_time_min,median_time_ratio_vs_sample,emergency_p90_time_min,mean_emergency_deprivation,deprivation_ratio_vs_sample,sample_median_time_min,sample_median_deprivation
vilnius,LT,14.0,1.1666666666666667,54.5,0.8012987324348999,4.72027795705472,12.0,0.169756683764208
ljubljana,SI,23.0,1.9166666666666667,62.5,0.7369840242888229,4.3414138869047045,12.0,0.169756683764208
riga,LV,13.5,1.125,43.5,0.500082892912148,2.9458804320586465,12.0,0.169756683764208
bucuresti,RO,8.5,0.7083333333333334,46.5,0.4763190406366689,2.8058927052219986,12.0,0.169756683764208
tallinn,EE,13.0,1.0833333333333333,31.5,0.4158419070297889,2.4496349587471515,12.0,0.169756683764208
