indicator,n_cities,n_countries,share_between_regions,share_between_countries_within_region,share_within_country,share_country_level_total
spearman_rho,67,24,0.20378940867425382,0.21779675993689077,0.5784138313888555,0.4215861686111446
gini_everyday,67,24,0.236082485570558,0.514913648804538,0.24900386562490445,0.7509961343750962
gini_emergency,67,24,0.3526223382491921,0.35106091787304955,0.2963167438777587,0.7036832561222417
divergence_gap,67,24,0.31895062123195334,0.43886917864691566,0.24218020012113087,0.757819799878869
compounding_pop_share_50,67,24,0.21912640300986377,0.1849174068461414,0.5959561901439951,0.4040438098560052
compounding_intensity,67,24,0.20699593008130532,0.1906974209297978,0.6023066489888962,0.39769335101110315
mean_emergency,67,24,0.24840171219715246,0.5354107314977243,0.21618755630512307,0.7838124436948768
