city,class,baseline,min,max
aalborg,HH,0.3424832492022913,0.3192141146258693,0.3627530214655085
aalborg,HL,0.1575126840733636,0.1372566227516456,0.1807994461179892
aalborg,LH,0.1574064224484162,0.137136650185199,0.1806755570248382
aalborg,LL,0.3425976442759288,0.3193108822313032,0.3628537055976469
aarhus,HH,0.3095601600696881,0.2929035007966272,0.3353812785532024
aarhus,HL,0.1904474296687811,0.164606658391646,0.207096024192086
aarhus,LH,0.1817416074161838,0.1559204889326695,0.1983982666892446
aarhus,LL,0.3182508028453469,0.301602208322042,0.344091574122482
alicante,HH,0.2689813253109517,0.2572932633713497,0.2820526236603314
alicante,HL,0.2309991171549501,0.2179665155821253,0.2427087035952984
alicante,LH,0.2311533811878897,0.2180820828385099,0.2428414431274916
alicante,LL,0.2688661763462084,0.2571565899058601,0.2818987779190333
amersfoort,HH,0.2820053857654189,0.2712352692780671,0.2857227883628392
amersfoort,HL,0.2178204527312825,0.2141030501338623,0.2286267045656896
amersfoort,LH,0.2138175052327167,0.2124722588824041,0.2245876217200686
amersfoort,LL,0.2863566562705817,0.2755504044361746,0.2874295557665098
amsterdam,HH,0.2876786765979712,0.2819105972937916,0.2895037313564392
amsterdam,HL,0.2123157429564752,0.2105020661361285,0.2180838222606547
amsterdam,LH,0.2153955924406999,0.2135705376822319,0.2193998603172639
amsterdam,LL,0.2846099880048536,0.2806078882687358,0.2864236648252002
antwerpen,HH,0.3102669556144913,0.3017010583215914,0.3147134428543563
antwerpen,HL,0.1897527487080901,0.1852718946853841,0.1983038874971026
antwerpen,LH,0.1861145694612858,0.1816680822214208,0.1946804667541858
antwerpen,LL,0.3138657262161327,0.3053145874271202,0.3183465802388387
apeldoorn,HH,0.3330714978615213,0.3145902135360681,0.3406828930007766
apeldoorn,HL,0.1669067876393566,0.159350282015828,0.185464187160555
apeldoorn,LH,0.1652398477961426,0.1576284526568873,0.1837211321215958
apeldoorn,LL,0.3347818667029794,0.316224467181781,0.342338372326508
arezzo,HH,0.3430006017674813,0.3370631443469687,0.3488053171294986
arezzo,HL,0.157141766318701,0.1513106838543971,0.1630209108440858
arezzo,LH,0.1573805909065618,0.1515758755445446,0.1633180483270744
arezzo,LL,0.3424770410072558,0.336597896481871,0.3483081234715597
athina,HH,0.2726038086713178,0.2718209641255047,0.2736886654353445
athina,HL,0.2273832645293189,0.2263396006674964,0.2281854911919705
athina,LH,0.2253479432394299,0.2242630864754032,0.226130787785243
athina,LL,0.2746649835599334,0.2738627568972819,0.2757086474217559
barcelona,HH,0.3104373106633002,0.3052676100776644,0.3250357828395314
barcelona,HL,0.1895628557301847,0.174953096749943,0.1947397650844194
barcelona,LH,0.1874032097621462,0.1728047375859151,0.192572910347782
barcelona,LL,0.3125966238443687,0.307419714490134,0.3272063828246104
berlin,HH,0.3167729408260077,0.3147854501689739,0.3191458403777017
berlin,HL,0.1832327352620303,0.1808598357103363,0.1852202259190641
berlin,LH,0.1814891656380974,0.1802285172289362,0.1832308925391983
berlin,LL,0.3185051582738646,0.3167634313727637,0.3197658066830258
bilbao,HH,0.3238745832213372,0.3198073757022972,0.3254109112072398
bilbao,HL,0.1763123919203634,0.1746417853518021,0.1803795994394034
bilbao,LH,0.174307460317265,0.1727711323313624,0.176143785607005
bilbao,LL,0.3255055645410343,0.3238649606694863,0.3271761711095956
braila,HH,0.3595152476056349,0.3468867640966651,0.3654780979464873
braila,HL,0.1404720776369232,0.1345314213366883,0.1529625174683123
braila,LH,0.1004242616556064,0.0944614113147541,0.1130527451645763
braila,LL,0.3995884131018353,0.3870979732704462,0.4055290694020702
bratislava,HH,0.3357798157446549,0.3184178087596969,0.3383116528384375
bratislava,HL,0.1642192755760579,0.1616901314617315,0.1815339857823335
bratislava,LH,0.1663077290984139,0.1637758920046313,0.1836697360833719
bratislava,LL,0.3336931795808732,0.3163784693745976,0.3362223236951995
brno,HH,0.3696245758773154,0.3602421401522714,0.3720910267289558
brno,HL,0.1303681039644701,0.1279079698837109,0.1397447114146975
brno,LH,0.1305241125238114,0.128057661672171,0.1399065482488554
brno,LL,0.369483207634403,0.3601066001841756,0.3719433417151622
bruxelles,HH,0.3322169138306735,0.3267465667524402,0.3387379351889629
bruxelles,HL,0.1677838561242693,0.1612628347659799,0.1732542032025026
bruxelles,LH,0.1670759375269054,0.1604709530593155,0.1729170926744048
bruxelles,LL,0.3329232925181516,0.3270821373706523,0.3395282769857415
bucuresti,HH,0.4241778002556422,0.4080684172555354,0.4267645738766302
bucuresti,HL,0.0757988103771042,0.0732297605226863,0.0919357676834185
bucuresti,LH,0.0734880311913118,0.0709012575703238,0.0895974141914186
bucuresti,LL,0.4265353581759416,0.4103984008696273,0.4291044080303595
budapest,HH,0.3275507012266684,0.3248540031388537,0.3297880874525422
budapest,HL,0.1724526858159864,0.1702152995901127,0.1751493839038011
budapest,LH,0.173313781182236,0.1710442524373365,0.1740018074727418
budapest,LL,0.3266828317751091,0.3259946191351711,0.3289523605200086
caserta,HH,0.2758291976551923,0.2617491631518015,0.276888655346731
caserta,HL,0.2241712319977729,0.2230490776885933,0.2382211786990938
caserta,LH,0.2273943621377925,0.2244313242053023,0.2414743966411832
caserta,LL,0.2726052082092421,0.2585552615079212,0.2755682461417322
chemnitz,HH,0.3179720007761791,0.3112651115086304,0.3195476619853891
chemnitz,HL,0.1818616702649219,0.1804655434268328,0.1885685595324706
chemnitz,LH,0.1827750203505652,0.1809362574378481,0.1864770122944643
chemnitz,LL,0.3173913086083337,0.3136893166644345,0.3192300715210507
cosenza,HH,0.3900119866567486,0.3784194714312094,0.402614352407178
cosenza,HL,0.1100275547329794,0.0974101533810114,0.1216155543885922
cosenza,LH,0.1085049165610551,0.0959025508106256,0.1200974317865942
cosenza,LL,0.3914555420492168,0.3798675423936039,0.4040729434011847
goteborg,HH,0.2985575531998845,0.2922890649033782,0.3074646225222682
goteborg,HL,0.2014523847245883,0.1925340113405228,0.2076651348867182
goteborg,LH,0.19475073766139,0.1858436683390063,0.2010192259578963
goteborg,LL,0.3052393244141371,0.2990265742520072,0.3141576977982027
grenoble,HH,0.379127721326406,0.3784961823226268,0.3821378174509526
grenoble,HL,0.1208836187728014,0.1178343799821833,0.1215185330862658
grenoble,LH,0.1211724490366658,0.1181623529121191,0.1220226192846816
grenoble,LL,0.3788162108641266,0.3779660406161109,0.3818654496547447
hamburg,HH,0.3211397275379094,0.3179805150533534,0.323289444089275
hamburg,HL,0.178865071462548,0.1767013567585568,0.182024283947104
hamburg,LH,0.1809210084177424,0.1783078826374599,0.1839764711842605
hamburg,LL,0.3190741925818,0.3160184640973401,0.3216873183620825
helsingborg,HH,0.3652948178546634,0.3464540679813704,0.3711785111919985
helsingborg,HL,0.134678236284705,0.1288571998078681,0.1535778019390326
helsingborg,LH,0.1349601331093666,0.1290764397720316,0.1538008829826597
helsingborg,LL,0.3650668127512648,0.3461672470969372,0.3708878492281017
helsinki,HH,0.2694179473674898,0.267816247822034,0.2754427547116695
helsinki,HL,0.2305747019126181,0.2245803765044861,0.232187230246554
helsinki,LH,0.2138088475609102,0.2077840402167305,0.215410547106366
helsinki,LL,0.2861985031589817,0.2845859748250459,0.2921928285671137
