regime,service,n_cities,n_facilities_median,n_facilities_min,n_facilities_max,pop_median_time_min_median,pop_median_time_min_min,pop_median_time_min_max,pop_mean_time_min_median,pop_mean_time_min_min,pop_mean_time_min_max,pop_share_beyond_30min_median,pop_share_beyond_30min_min,pop_share_beyond_30min_max,pop_service_deprived_share_median,pop_service_deprived_share_min,pop_service_deprived_share_max,unreachable_pop_share_median,unreachable_pop_share_min,unreachable_pop_share_max,pop_share_beyond_15min_median,pop_share_beyond_15min_min,pop_share_beyond_15min_max
emergency,ambulance_station,60,5.5,1.0,124.0,12.0,6.0,37.0,14.21994332521843,6.4596997771021565,36.6793211470853,0.0428370904456845,0.0,0.7635411078914469,0.0003289537827416,0.0,0.0816998774005701,0.00012197043442915,0.0,0.040844998785229,,,
emergency,emergency_dept_hospital,66,6.0,1.0,100.0,12.0,7.0,22.0,14.32405502155897,8.801268208792234,22.12189152933668,0.0561928133251625,0.0001390029870389,0.3001279866490585,0.00031102444011625,0.0,0.1306667031057719,0.00020201840187855,0.0,0.040844998785229,,,
everyday,gp,67,93.0,2.0,2186.0,7.936411569928872,3.366764077393694,19.178187813621044,8.853036182046242,4.619616873667596,18.98146629157514,0.3786982726646661,0.0580403874087559,0.898766959561415,0.3611038300794886,0.0570117819797564,0.898336861105577,0.0001947696890257,0.0,0.040844998785229,0.4980108145847964,0.1208194125466909,0.9577845788464142
everyday,green_space_district,67,636.0,22.0,7487.0,3.8285054329149566,0.1224698766191988,8.62433106023915,4.822284296531729,1.7447758219101115,10.287503307106272,0.1153407625931742,0.0066460334910613,0.3942555783696899,0.1113233902487069,0.0066432138259253,0.3872485475279708,0.0001947696890257,0.0,0.040844998785229,0.1334607537841539,0.0083279452574788,0.5366091190255567
everyday,green_space_local,67,636.0,22.0,7487.0,3.8285054329149566,0.1224698766191988,8.62433106023915,4.822284296531729,1.7447758219101115,10.287503307106272,0.1153407625931742,0.0066460334910613,0.3942555783696899,0.1113233902487069,0.0066432138259253,0.3872485475279708,0.0001947696890257,0.0,0.040844998785229,0.1334607537841539,0.0083279452574788,0.5366091190255567
everyday,pharmacy,67,227.0,16.0,3479.0,4.897682794841103,0.2977445520150525,11.70664251565248,5.8561309704546725,2.012367789484076,13.659979738633606,0.1761446610863166,0.0275276568280172,0.4218006162827851,0.1751849678073759,0.0275243918323659,0.4157899357070094,0.0001947696890257,0.0,0.040844998785229,0.2233579196280614,0.0315080625815415,0.5330433328480882
everyday,school_primary,67,411.0,46.0,10710.0,4.401453096485429,1.481168129944263,7.5,5.298982930166464,2.2619255777431704,8.592079599558822,0.0962513141911357,0.0073425155769597,0.3784509805418115,0.095500710102417,0.0072446980569689,0.3772184870106009,0.0001947696890257,0.0,0.040844998785229,0.1189170546000894,0.0090141027057967,0.3994867926953601
everyday,school_secondary,67,411.0,46.0,10710.0,4.401453096485429,1.481168129944263,7.5,5.298982930166464,2.2619255777431704,8.592079599558822,0.0962513141911357,0.0073425155769597,0.3784509805418115,0.095500710102417,0.0072446980569689,0.3772184870106009,0.0001947696890257,0.0,0.040844998785229,0.1189170546000894,0.0090141027057967,0.3994867926953601
everyday,supermarket,67,325.0,33.0,2522.0,4.679650849359494,0.7655782591685036,8.259652474581836,5.631891111490464,2.252569968840659,9.831481371864,0.130365078476201,0.0250132849089113,0.3750663328024332,0.1250189392829813,0.0245759696518262,0.3741863498881894,0.0001947696890257,0.0,0.040844998785229,0.1707675920536552,0.0307583610597927,0.3991927727620321
