regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.28882713746838995,0.5231801828143563,DLF: fraction of the saturation ceiling Lmax,0.1332614463587001,ses_census_employment_share
emergency,0.7739775098235556,0.4057996244825355,DCF: multiples of g(15 min) [anchored],0.16602974193290876,ses_census_employment_share
