typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,28645,753547.8384519636,0.6179831128819042,0.0,0.75
LH,12989,160983.04239435564,0.13202187914763064,0.0,0.75
HL,17124,163500.1995146256,0.13408619479346,0.0,0.75
HH,19932,141335.31128342636,0.11590881317700519,0.0,0.75
