typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,6186,88158.6369608703,0.6005827582394837,0.0,0.75
LH,3298,21956.757384366807,0.14958091874482163,0.0,0.75
HL,6142,21939.463067028846,0.14946310080699088,0.0,0.75
HH,8155,14733.63385127586,0.10037322220870382,0.0,0.75
