typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,2353,161301.97947881976,0.6841261886888006,0.0005981650437556535,0.75
LH,1817,15529.996995725669,0.06586700107068062,0.0005981650437556535,0.75
HL,1767,14945.689649969805,0.0633887924413357,0.0005981650437556535,0.75
HH,8545,44000.443449059036,0.18661801779918313,0.0005981650437556535,0.75
