level,regime,service,n_facilities,pop_mean_time_min,pop_median_time_min,pop_p90_time_min_reachable,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share,mean_deprivation,pop_share_beyond_45min,pop_share_beyond_60min
service,everyday,gp,32.0,15.564347352152035,14.86814996040037,26.835234139494204,0.8033559913909907,0.6381905985754674,0.614560679567635,0.0026568861195763126,0.8016146604287487,,
service,everyday,pharmacy,168.0,9.49180983578436,8.759781672949368,16.82982770133981,0.3382827986435279,0.2152950741296192,0.211830047366662,0.0026568861195763126,0.4108885364098413,,
service,everyday,supermarket,288.0,8.801328820149052,8.094253308764827,15.79254849764099,0.2677035337213969,0.17132036659415395,0.16559034490182348,0.0026568861195763126,0.3538024252955202,,
service,everyday,school_primary,787.0,5.91514644818114,5.224260878355591,11.0,0.11890835218400948,0.09627379406186687,0.09315848932785452,0.0026568861195763126,0.20591787507888487,,
service,everyday,school_secondary,787.0,5.91514644818114,5.224260878355591,11.0,0.11890835218400948,0.09627379406186687,0.09315848932785452,0.0026568861195763126,0.20591787507888487,,
service,everyday,green_space_local,3247.0,2.749839077706709,1.7424670503933557,6.908144319286608,0.09427387769165814,0.08697843823313085,0.0843167250363792,0.0026568861195763126,0.13192477264973104,,
service,everyday,green_space_district,3247.0,2.749839077706709,1.7424670503933557,6.908144319286608,0.09427387769165814,0.08697843823313085,0.0843167250363792,0.0026568861195763126,0.13192477264973104,,
service,emergency,emergency_dept_hospital,11.0,16.25348946198434,15.0,25.0,,0.0482127286605131,0.0015835626501433547,0.0026568861195763126,0.21667228441296263,0.006668154334543708,0.004245148499420619
