level,regime,service,n_facilities,pop_mean_time_min,pop_median_time_min,pop_p90_time_min_reachable,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share,mean_deprivation,pop_share_beyond_8min,pop_share_beyond_45min,pop_share_beyond_60min
everyday,everyday,everyday,,28.077014437723008,27.52047869158788,57.88644029329165,0.6379464425183242,0.3724640676781012,0.06288672316812449,0.0026568861195763126,0.37908144689701595,,,
emergency,emergency,emergency,,16.277573060655637,15.0,25.0,0.48575456398086514,0.04819627475439789,0.0015835626501433547,0.0026568861195763126,1.3622935161898144,0.8698530941769735,0.006669826259002972,0.004245148499420619
