regime,weighted_mean,gini,units
everyday,0.3148194071075815,0.4310446564486915,DLF: fraction of the saturation ceiling Lmax
emergency,0.1347576323968138,0.45768096477390996,DCF: multiples of g(45 min) [anchored]
