typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,33945,1429190.4067279273,0.6362211505411692,0.0003501534172989341,0.75
LH,15215,255593.5088675865,0.11378049804776431,0.0003501534172989341,0.75
HL,26979,255405.07896852004,0.11369661623144645,0.0003501534172989341,0.75
HH,53311,306184.6217677386,0.13630173517962002,0.0003501534172989341,0.75
