regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.2598110921962747,0.5433184547307554,DLF: fraction of the saturation ceiling Lmax,-0.13339781129604117,ses_net_rent_durchschnMieteQM
emergency,0.5781855679669744,0.4368217616659414,DCF: multiples of g(15 min) [anchored],-0.17378625359543817,ses_net_rent_durchschnMieteQM
