typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,26493,2096582.9955351076,0.6063607689542636,0.0,0.75
LH,10709,496662.96377776796,0.1436417910804085,0.0,0.75
HL,19643,500097.44336286944,0.14463509002760727,0.0,0.75
HH,29122,364306.0741380296,0.10536234993772063,0.0,0.75
