regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.4452625150002062,0.4229168474924909,DLF: fraction of the saturation ceiling Lmax,0.21081067568937928,ses_census_employment_share
emergency,1.8752592859121788,0.5599737738530075,DCF: multiples of g(15 min) [anchored],0.19928778875914763,ses_census_employment_share
