typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,3342,69296.06141302176,0.36210570420358573,0.0008467559246835379,0.5
LH,3307,26389.27860710025,0.13789684606307215,0.0008467559246835379,0.5
HL,3871,29564.27302874159,0.15448773979422512,0.0008467559246835379,0.5
HH,30972,66120.09090382978,0.345509709939117,0.0008467559246835379,0.5
