level,regime,service,n_facilities,pop_mean_time_min,pop_median_time_min,pop_p90_time_min_reachable,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share,mean_deprivation,pop_share_beyond_45min,pop_share_beyond_60min
service,everyday,gp,21.0,10.787516345367113,10.201508111315091,21.266087935175197,0.7087230473116904,0.616442020718871,0.6046199151194488,0.010386204266231118,0.7352174080144199,,
service,everyday,pharmacy,52.0,8.252988804830355,8.0,13.99684504871217,0.3668491842195708,0.33854812626940883,0.32276665641300445,0.010386204266231118,0.4640214462619158,,
service,everyday,supermarket,65.0,7.9772299002700855,7.845460243831691,13.290788420545345,0.3273333818078247,0.3070632946014982,0.29667709033526707,0.010386204266231118,0.43593152611470726,,
service,everyday,school_primary,202.0,5.495265350113777,4.890306480638389,10.853082171782107,0.1678379883092047,0.15963848072000467,0.14924339095729053,0.010386204266231118,0.25229597469669746,,
service,everyday,school_secondary,202.0,5.495265350113777,4.890306480638389,10.853082171782107,0.1678379883092047,0.15963848072000467,0.14924339095729053,0.010386204266231118,0.25229597469669746,,
service,everyday,green_space_local,1451.0,3.609196143670209,2.365389936077815,9.166367029647999,0.14168619518954245,0.12734371522421206,0.11695751095798095,0.010386204266231118,0.1900522679986414,,
service,everyday,green_space_district,1451.0,3.609196143670209,2.365389936077815,9.166367029647999,0.14168619518954245,0.12734371522421206,0.11695751095798095,0.010386204266231118,0.1900522679986414,,
service,emergency,emergency_dept_hospital,1.0,16.80465577843561,14.0,31.0,,0.1242604420702061,0.005020713585835333,0.010386204266231118,0.30611055698998085,0.03018842477396409,0.015583272122007816
service,emergency,ambulance_station,1.0,16.05687396720608,13.0,31.0,,0.11570356390646713,0.004659822407672619,0.010386204266231118,0.29100940674875675,0.028338820842983278,0.015196307728552367
