regime,weighted_mean,gini,units,concentration_index,concentration_ses_col
everyday,0.4093693136714311,0.3847166026846473,DLF: fraction of the saturation ceiling Lmax,0.1234337066305058,ses_census_employment_share
emergency,0.24179645667052477,0.565126344660241,DCF: multiples of g(45 min) [anchored],0.13481150689854282,ses_census_employment_share
