city,sensitive_pop_share,stable_pop_share
barcelona,0.14074743377269502,0.859252566227305
milano,0.21280264340755264,0.7871973565924474
athina,0.14938719391470795,0.850612806085292
bruxelles,0.13862842047882884,0.8613715795211712
napoli,0.2564915423830013,0.7435084576169987
hamburg,0.08963552975591174,0.9103644702440883
bucuresti,0.12230955908285142,0.8776904409171485
lisboa,0.2491296135531779,0.7508703864468221
munchen,0.08913914611006785,0.9108608538899321
budapest,0.10342407961839013,0.8965759203816098
amsterdam,0.15786785854470636,0.8421321414552936
koeln,0.1314462679278335,0.8685537320721665
kobenhavn,0.27003867613483107,0.729961323865169
helsinki,0.2305920404335019,0.7694079595664981
krakow,0.08756789709643148,0.9124321029035685
katowice,0.1557257307938024,0.8442742692061976
antwerpen,0.14130883732491042,0.8586911626750896
bilbao,0.1744293304010924,0.8255706695989076
lodz,0.09267136930230868,0.9073286306976913
goteborg,0.1973715428803777,0.8026284571196223
palermo,0.27917519826821946,0.7208248017317805
alicante,0.26861756685462795,0.731382433145372
bratislava,0.13351623800276644,0.8664837619972335
ljubljana,0.1628139407152016,0.8371860592847984
brno,0.0999251525963225,0.9000748474036775
grenoble,0.11026413820815532,0.8897358617918447
luxembourg,0.20995062179960294,0.790049378200397
aarhus,0.17588438892020353,0.8241156110797965
chemnitz,0.08459829813497392,0.9154017018650261
aalborg,0.18169429656525082,0.8183057034347492
caserta,0.35599470628053637,0.6440052937194636
helsingborg,0.13354869756598536,0.8664513024340146
jaen,0.165601741111095,0.834398258888905
apeldoorn,0.16236706195072376,0.8376329380492762
cosenza,0.07915439352682921,0.9208456064731708
braila,0.1291589302814844,0.8708410697185156
amersfoort,0.15255620384304416,0.8474437961569559
zilina,0.08229399001091024,0.9177060099890898
norrkoping,0.11099264583574865,0.8890073541642514
lahti,0.10060262857718605,0.899397371422814
landshut,0.19111035990131356,0.8088896400986865
arezzo,0.13012056528502675,0.8698794347149732
lomza,0.1059736180627748,0.8940263819372252
