city,knob,hh_share_range,rho_range,pop_share_beyond_everyday_15_range,pop_share_beyond_everyday_30_range,hh_exceeds_threshold,n_variants,n_degenerate,n_not_evaluable
hamburg,threshold_axis,0.2845577119806133,0.0,0.0,0.0,False,4,0,0
hamburg,gamma,0.05935603223660679,0.29390349760560863,0.0640163031003296,0.021838252714307727,False,3,0,0
hamburg,everyday_mode,0.05504780587870983,0.2459158300521434,0.24042209130205444,0.19369383473313956,False,1,0,0
hamburg,kappa,0.011191830042846407,0.0749905608026587,0.011470165463617621,0.006541802967515081,False,4,1,0
hamburg,k_nearest,0.007375162708693983,0.050309407633166436,0.012763810435797829,0.0026892846284134186,False,1,0,0
hamburg,bandwidth,0.0032447394252029804,0.0068922966656471685,0.0006360546030946546,0.0005973770401865586,False,2,0,0
hamburg,off_network,0.002275576109087629,0.0015903520932518123,0.0006957363680420992,0.000738888329724019,False,1,0,0
hamburg,nearest_only,0.0019578754549480215,0.015520017265596375,0.005433054269435522,0.002576315496735232,False,1,0,0
hamburg,unreachable,0.0,3.18095410850594e-06,0.011033939267446058,0.07821528663462582,False,3,0,0
