city,axis,variant,kappa,gamma,bandwidth,k_nearest,policy,cap_min,finite_fill_min,off_network,modes,threshold,gini_everyday,gini_emergency,divergence_gap,spearman_rho,share_LL,share_LH,share_HL,share_HH,max_tie_everyday,zero_floor_pop_share,off_network_pop_share,degenerate,evaluable,not_evaluable_reason,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,flip_pop_share
hamburg,baseline,baseline,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.543621565412429,0.4642382731581388,-0.0793832922542902,0.4028450845171209,0.31888912800765135,0.1811025418656773,0.17860263235122956,0.3214056977754417,0.06398479971403025,0.13814443132852897,0.0009173823805579853,False,True,,0.24160700838954002,0.19456886748294208,0.0
hamburg,kappa,kappa_0.1,0.1,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.7949122422404116,0.4642382731581388,-0.33067396908227276,0.5781183340304763,0.37115559180852814,0.1507768766711167,0.1263361685503528,0.35173136297000235,0.5219324684796448,0.82331750481518,0.0009173823805579853,True,True,,0.2260441320551536,0.1822015440351843,0.17935973569741304
hamburg,kappa,kappa_0.25,0.25,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.6581307863905775,0.4642382731581388,-0.19389251323243872,0.4624446204690464,0.32800055348655505,0.17200036687740458,0.16949120687232586,0.33050787276371446,0.06398479971403025,0.5291370043589905,0.0009173823805579853,False,True,,0.2350417020246442,0.19039488338611815,0.05385144028334713
hamburg,kappa,kappa_1.0,1.0,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5025300888603659,0.4642382731581388,-0.03829181570222706,0.3893134736929815,0.31734065014217683,0.1826621125612264,0.18015111021670407,0.31984612707989263,0.06398479971403025,0.0502678718376725,0.0009173823805579853,False,True,,0.2450485297810338,0.19627591821091445,0.022599440887350858
hamburg,kappa,kappa_2.0,2.0,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.49028999350106944,0.4642382731581388,-0.02605172034293063,0.3874540596663877,0.3168140224472533,0.183192196920251,0.1806777379116276,0.31931604272086805,0.06398479971403025,0.038218418009118175,0.0009173823805579853,False,True,,0.24651186748826182,0.19693668635363323,0.03063945407089764
hamburg,gamma,gamma_0.0,0.5,0.0,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5042151823360342,0.4642382731581388,-0.039976909177895426,0.59237494277294,0.3548258522608716,0.14518179813515003,0.1426659080980093,0.357326441505969,0.06398479971403025,0.11677259344578989,0.0009173823805579853,False,True,,0.2990340859881868,0.2148834484973726,0.11562992669097615
hamburg,gamma,gamma_0.25,0.5,0.25,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5229558339263191,0.4642382731581388,-0.058717560768180244,0.4970886703403297,0.33517886728358365,0.16482202270187035,0.16231289307529725,0.33768621693924866,0.06398479971403025,0.12234644079853536,0.0009173823805579853,False,True,,0.25449943844681516,0.2007352810484674,0.05758056911021857
hamburg,gamma,gamma_1.0,0.5,1.0,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5616032295853564,0.4642382731581388,-0.09736495642721754,0.2984714451673314,0.2954660147294139,0.20453783037175685,0.20202574562946699,0.2979704092693622,0.06398479971403025,0.16727024100142499,0.0009173823805579853,False,True,,0.2350177828878572,0.19304519578306487,0.11341847458504492
hamburg,bandwidth,bandwidth_10,0.5,0.5,10.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5403640446863969,0.4642382731581388,-0.07612577152825806,0.4097373811827681,0.32112794496821867,0.17887181657279275,0.17636381539066223,0.3236364230683263,0.06398479971403025,0.13314137752308708,0.0009173823805579853,False,True,,0.2411649089849112,0.1950097280475188,0.02347214138707747
hamburg,bandwidth,bandwidth_20,0.5,0.5,20.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5462388850542318,0.4642382731581388,-0.08200061189609298,0.40286835900202433,0.31788551489236744,0.1821165559979957,0.17960624546651346,0.3203916836431233,0.06398479971403025,0.14260334706974473,0.0009173823805579853,False,True,,0.24180096358800585,0.19441235100733223,0.009938697776590736
hamburg,k_nearest,k_nearest_10,0.5,0.5,15.0,10.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5159351568930913,0.4642382731581388,-0.051696883734952515,0.45315449215028736,0.3262766437942707,0.17372737915698336,0.17121511656461022,0.3287808604841357,0.06398479971403025,0.1376456516375787,0.0009173823805579853,False,True,,0.25437081882533785,0.1972581521113555,0.04613805618252916
hamburg,nearest_only,nearest_only,inf,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.48520047763401264,0.4642382731581388,-0.020962204475873825,0.38732506725152455,0.31693819229967723,0.18306041732062533,0.18055356805920364,0.3194478223204937,0.06398479971403025,0.03724130272391875,0.0009173823805579853,False,True,,0.24704006265897555,0.1971451829796773,0.03492858230807167
hamburg,unreachable,unreachable_fill_60,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,60.0,mask,walk,0.5,0.5436023623256191,0.4642382731581388,-0.07936408916748028,0.40284199004084653,0.31888912800765135,0.1811025418656773,0.17860263235122956,0.3214056977754417,0.06398479971403025,0.13814443132852897,0.0009173823805579853,False,True,,0.23057306912209397,0.1459158519126867,0.0
hamburg,unreachable,unreachable_fill_90,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,90.0,mask,walk,0.5,0.5436215179273967,0.4642382731581388,-0.07938324476925784,0.4028451564156795,0.31888912800765135,0.1811025418656773,0.17860263235122956,0.3214056977754417,0.06398479971403025,0.13814443132852897,0.0009173823805579853,False,True,,0.24160700838954002,0.17405708371518985,0.0
hamburg,unreachable,unreachable_fill_180,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,180.0,mask,walk,0.5,0.5436215655304243,0.4642382731581388,-0.07938329237228547,0.40284517099495504,0.31888912800765135,0.1811025418656773,0.17860263235122956,0.3214056977754417,0.06398479971403025,0.13814443132852897,0.0009173823805579853,False,True,,0.24160700838954002,0.2241311385473125,0.0
hamburg,off_network,off_network_cap,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,cap,walk,0.5,0.5438106052577083,0.49215581300257405,-0.05165479225513425,0.40443543661037273,0.3217010106403395,0.17829146570596377,0.1808774019873426,0.31913012166635407,0.06484348356670705,0.13814443132852897,0.0009173823805579853,False,True,,0.24230274475758212,0.1953077558126661,0.006002532465569358
hamburg,everyday_mode,everyday_modes_walk+car,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk+car,0.5,0.7984882791632781,0.4642382731581388,-0.3342500060051393,0.6487609145692643,0.3739452195030788,0.12605473598696748,0.12354654085580212,0.37645350365415153,0.33868434976440404,0.8036538155237846,0.0009173823805579853,False,True,,0.0011849170874855817,0.0008750327498025209,0.23040085798302176
hamburg,threshold,threshold_0.4,,,,,,,,,,0.4,,,,0.4028450845171209,0.21734107217359896,0.18265920142630415,0.17775756389543954,0.42224216250465724,,,,False,True,,,,
hamburg,threshold,threshold_0.5,,,,,,,,,,0.5,,,,0.4028450845171209,0.31888912800765135,0.1811025418656773,0.17860263235122956,0.3214056977754417,,,,False,True,,,,
hamburg,threshold,threshold_0.6,,,,,,,,,,0.6,,,,0.4028450845171209,0.4360619781925186,0.16392698438718115,0.16045577640885117,0.23955526101144906,,,,False,True,,,,
hamburg,threshold,threshold_0.75,,,,,,,,,,0.75,,,,0.4028450845171209,0.6389869785554378,0.11101349737530096,0.11231507354521725,0.1376844505240439,,,,False,True,,,,
