city,class,baseline,min,max
roma,LL,0.3397943051594935,0.32685631557979267,0.34879540976588835
roma,LH,0.16019846136081245,0.1512031700770352,0.17315345636431503
roma,HL,0.15877165301889842,0.14977054841250362,0.1717096425985994
roma,HH,0.3412355804607956,0.32828058545729305,0.3502308717445729
warszawa,LL,0.3431594610012543,0.3413142543624081,0.3463861626005319
warszawa,LH,0.15684559193569633,0.15361889033641873,0.15868938231909804
warszawa,HL,0.15191447849944673,0.15191447849944673,0.15617197458125423
warszawa,HH,0.3480804685636027,0.3438229724817952,0.3480804685636027
stockholm,LL,0.38847297790827234,0.3561181595445952,0.39919909363125655
stockholm,LH,0.11150155046657154,0.10080718958397147,0.14387614070583588
stockholm,HL,0.11178665386108132,0.1010605381380971,0.14414147222475843
stockholm,HH,0.3882388177640747,0.3558642275248104,0.39893317864667477
praha,LL,0.3526243968373469,0.3337601327292778,0.357159873169386
praha,LH,0.14739775530773383,0.14286227897569473,0.16624383507531432
praha,HL,0.14505546798815092,0.14111090933554313,0.16391973209622002
praha,HH,0.35492237986676833,0.3360763000991879,0.35888737402652937
sofia,LL,0.40759849277591254,0.3850038107556838,0.41240258597471713
sofia,LH,0.09238072861040882,0.08757663541160424,0.11499999140800825
sofia,HL,0.09059897764342571,0.08729110465654216,0.11319365966365448
sofia,HH,0.40942180097025294,0.38680253817265353,0.4127281064006177
oslo,LL,0.3001116490235216,0.29716765948889823,0.3026847094386176
oslo,LH,0.1998875297775137,0.1973538599955766,0.20283151931213708
oslo,HL,0.20160945471473685,0.19903639429964087,0.2020559653195197
oslo,HH,0.29839136648422787,0.2979395054112223,0.3009250362661649
porto,LL,0.32044018621421483,0.3138627653645202,0.3256173058192605
porto,LH,0.17958575520667103,0.17438472077175884,0.18613993995305395
porto,HL,0.17861744882242775,0.17344032921738206,0.1851948696721224
porto,HH,0.3213566097566864,0.3148024250103035,0.32655764419159866
zagreb,LL,0.39344600492371334,0.3750468223746201,0.40932043799999085
