city,axis,target,baseline,min,max,width,n_variants
aalborg,curvature,gini_everyday,0.4191242133392057,0.3239354733628257,0.5536332951929017,0.22969782183007603,11
aalborg,curvature,gini_emergency,0.5410821167609613,0.4487758769143203,0.6242352514259423,0.17545937451162197,11
aalborg,curvature,divergence_gap,0.1219579034217555,-0.0125511784319404,0.2171466433981356,0.229697821830076,11
aalborg,curvature,share_HH,0.3424832492022913,0.3192141146258693,0.3564504627960729,0.037236348170203604,11
aalborg,form_swap,gini_everyday,0.4191242133392057,0.407665834113208,0.4191242133392057,0.011458379225997684,2
aalborg,form_swap,gini_emergency,0.5410821167609613,0.4582625398863948,0.5410821167609613,0.08281957687456648,2
aalborg,form_swap,divergence_gap,0.1219579034217555,0.039138326547189,0.1334162826477533,0.0942779561005643,2
aalborg,form_swap,share_HH,0.3424832492022913,0.3424832492022913,0.3627530214655085,0.02026977226321719,2
aalborg,threshold,share_HH,0.3424832492022913,0.1286914016806329,0.4402860947620483,0.3115946930814154,4
aarhus,curvature,gini_everyday,0.3943523216353278,0.3082344240438574,0.522237992209613,0.21400356816575555,11
aarhus,curvature,gini_emergency,0.4380497720948725,0.3537708531088345,0.5162044026767936,0.16243354956795908,11
aarhus,curvature,divergence_gap,0.0436974504595447,-0.0841882201147404,0.129815348051015,0.2140035681657554,11
aarhus,curvature,share_HH,0.3095601600696881,0.2929035007966272,0.3303392866906578,0.037435785894030627,11
aarhus,form_swap,gini_everyday,0.3943523216353278,0.3692392063777392,0.3943523216353278,0.02511311525758858,2
aarhus,form_swap,gini_emergency,0.4380497720948725,0.3454594567315312,0.4380497720948725,0.09259031536334128,2
aarhus,form_swap,divergence_gap,0.0436974504595447,-0.0488928649037965,0.0688105657171332,0.1177034306209297,2
aarhus,form_swap,share_HH,0.3095601600696881,0.3095601600696881,0.3353812785532024,0.02582111848351426,2
aarhus,threshold,share_HH,0.3095601600696881,0.1192741183603657,0.4352067943001191,0.3159326759397534,4
alicante,curvature,gini_everyday,0.5298849527803308,0.4501191394852066,0.6375731779441624,0.18745403845895575,11
alicante,curvature,gini_emergency,0.2769185500043507,0.2197696069411932,0.3350610575148088,0.11529145057361559,11
alicante,curvature,divergence_gap,-0.25296640277598,-0.3606546279398116,-0.1732005894808558,0.18745403845895584,11
alicante,curvature,share_HH,0.2689813253109517,0.2572932633713497,0.2782288726278585,0.02093560925650878,11
alicante,form_swap,gini_everyday,0.5298849527803308,0.5056474352420077,0.5298849527803308,0.02423751753832304,2
alicante,form_swap,gini_emergency,0.2769185500043507,0.2189305041905793,0.2769185500043507,0.05798804581377143,2
alicante,form_swap,divergence_gap,-0.25296640277598,-0.3109544485897514,-0.228728885237657,0.08222556335209441,2
alicante,form_swap,share_HH,0.2689813253109517,0.2719244291731063,0.2820526236603314,0.010128194487225128,2
alicante,threshold,share_HH,0.2689813253109517,0.0862751780865313,0.3727156305197305,0.2864404524331992,4
amersfoort,curvature,gini_everyday,0.4577055434107772,0.3412549430777681,0.7072637273813955,0.36600878430362743,11
amersfoort,curvature,gini_emergency,0.3499738914337906,0.2855536168252398,0.4122870010575353,0.12673338423229552,11
amersfoort,curvature,divergence_gap,-0.1077316519769866,-0.3572898359476049,0.0087189483560224,0.36600878430362727,11
amersfoort,curvature,share_HH,0.2820053857654189,0.2712352692780671,0.2857227883628392,0.014487519084772083,11
amersfoort,form_swap,gini_everyday,0.4577055434107772,0.3572268119952163,0.4577055434107772,0.1004787314155609,2
amersfoort,form_swap,gini_emergency,0.3499738914337906,0.2519975861459868,0.3499738914337906,0.09797630528780382,2
amersfoort,form_swap,divergence_gap,-0.1077316519769866,-0.2057079572647904,-0.0072529205614256,0.1984550367033648,2
amersfoort,form_swap,share_HH,0.2820053857654189,0.2833506321157316,0.2857227883628392,0.0023721562471076263,2
amersfoort,threshold,share_HH,0.2820053857654189,0.1396518946485806,0.3644865718518752,0.22483467720329461,4
amsterdam,curvature,gini_everyday,0.500509769718385,0.3747696075779522,0.7338265976736775,0.35905699009572534,11
amsterdam,curvature,gini_emergency,0.3257559377379977,0.2599786642093536,0.3968717022310973,0.13689303802174368,11
amsterdam,curvature,divergence_gap,-0.1747538319803873,-0.4080706599356798,-0.0490136698399545,0.35905699009572534,11
amsterdam,curvature,share_HH,0.2876786765979712,0.2819105972937916,0.2895037313564392,0.007593134062647611,11
amsterdam,form_swap,gini_everyday,0.500509769718385,0.411504638062042,0.500509769718385,0.089005131656343,2
amsterdam,form_swap,gini_emergency,0.3257559377379977,0.2407763462501734,0.3257559377379977,0.0849795914878243,2
amsterdam,form_swap,divergence_gap,-0.1747538319803873,-0.2597334234682116,-0.0857487003240443,0.1739847231441673,2
amsterdam,form_swap,share_HH,0.2876786765979712,0.2853013643280273,0.2875446291877477,0.0022432648597204286,2
amsterdam,threshold,share_HH,0.2876786765979712,0.091157485694584,0.3837283146590168,0.2925708289644328,4
antwerpen,curvature,gini_everyday,0.5232352832671989,0.4067806030214244,0.7024700612672645,0.29568945824584014,11
antwerpen,curvature,gini_emergency,0.4061157020942532,0.3295408692027899,0.4817249406458023,0.15218407144301238,11
antwerpen,curvature,divergence_gap,-0.1171195811729457,-0.2963543591730113,-0.0006649009271711,0.2956894582458402,11
antwerpen,curvature,share_HH,0.3102669556144913,0.3017010583215914,0.314585660403733,0.012884602082141594,11
antwerpen,form_swap,gini_everyday,0.5232352832671989,0.468211602350301,0.5232352832671989,0.05502368091689791,2
antwerpen,form_swap,gini_emergency,0.4061157020942532,0.3016592763121151,0.4061157020942532,0.1044564257821381,2
antwerpen,form_swap,divergence_gap,-0.1171195811729457,-0.2215760069550837,-0.0620959002560478,0.1594801066990359,2
antwerpen,form_swap,share_HH,0.3102669556144913,0.3138955073668584,0.3147134428543563,0.0008179354874979228,2
antwerpen,threshold,share_HH,0.3102669556144913,0.1159659903248266,0.4010241523372785,0.28505816201245193,4
apeldoorn,curvature,gini_everyday,0.4389338928034691,0.324054992262478,0.6447377408826377,0.32068274862015966,11
apeldoorn,curvature,gini_emergency,0.3409091287560503,0.2764570585249593,0.4036502901371523,0.12719323161219304,11
apeldoorn,curvature,divergence_gap,-0.0980247640474188,-0.3038286121265874,0.0168541364935722,0.3206827486201596,11
apeldoorn,curvature,share_HH,0.3330714978615213,0.3145902135360681,0.3406828930007766,0.0260926794647085,11
apeldoorn,form_swap,gini_everyday,0.4389338928034691,0.4043451278561402,0.4389338928034691,0.03458876494732893,2
apeldoorn,form_swap,gini_emergency,0.3409091287560503,0.2557480141977337,0.3409091287560503,0.0851611145583166,2
apeldoorn,form_swap,divergence_gap,-0.0980247640474188,-0.1831858786057354,-0.0634359991000899,0.1197498795056455,2
apeldoorn,form_swap,share_HH,0.3330714978615213,0.3325679956090273,0.3392503760019272,0.006682380392899923,2
apeldoorn,threshold,share_HH,0.3330714978615213,0.1343102839380594,0.4104968069460257,0.2761865230079663,4
arezzo,curvature,gini_everyday,0.4122009722720649,0.3328915071627029,0.5145580254057278,0.18166651824302493,11
arezzo,curvature,gini_emergency,0.4476864512551661,0.3780395793631487,0.5081346521800969,0.1300950728169482,11
arezzo,curvature,divergence_gap,0.0354854789831011,-0.0668715741505617,0.1147949440924631,0.18166651824302482,11
arezzo,curvature,share_HH,0.3430006017674813,0.3370631443469687,0.3472850272622191,0.010221882915250391,11
arezzo,form_swap,gini_everyday,0.4122009722720649,0.4017656530416939,0.4122009722720649,0.010435319230370999,2
arezzo,form_swap,gini_emergency,0.4476864512551661,0.347325227757394,0.4476864512551661,0.1003612234977721,2
arezzo,form_swap,divergence_gap,0.0354854789831011,-0.0648757445146708,0.0459207982134721,0.1107965427281429,2
arezzo,form_swap,share_HH,0.3430006017674813,0.3430006017674813,0.3488053171294986,0.005804715362017265,2
arezzo,threshold,share_HH,0.3430006017674813,0.1003732222087038,0.4639867295874952,0.3636135073787914,4
athina,curvature,gini_everyday,0.6082042124285109,0.4925749924660959,0.8309360765189955,0.3383610840528996,11
athina,curvature,gini_emergency,0.5004632184628085,0.397480085053131,0.6001079191575801,0.20262783410444912,11
athina,curvature,divergence_gap,-0.1077409939657023,-0.330472858056187,0.0078882259967126,0.33836108405289955,11
athina,curvature,share_HH,0.2726038086713178,0.2718209641255047,0.2734560454901556,0.0016350813646509033,11
athina,form_swap,gini_everyday,0.6082042124285109,0.4808985183855643,0.6082042124285109,0.12730569404294656,2
athina,form_swap,gini_emergency,0.5004632184628085,0.3598134284348112,0.5004632184628085,0.14064979002799732,2
athina,form_swap,divergence_gap,-0.1077409939657023,-0.2483907839936996,0.0195647000772442,0.26795548407094383,2
athina,form_swap,share_HH,0.2726038086713178,0.2726038086713178,0.2736886654353445,0.0010848567640266982,2
athina,threshold,share_HH,0.2726038086713178,0.1101857547500581,0.3842314524890091,0.274045697738951,4
barcelona,curvature,gini_everyday,0.5438652577381323,0.4646465518919119,0.6688212894655913,0.20417473757367938,11
barcelona,curvature,gini_emergency,0.4179048880293165,0.3301689392283602,0.507395612599977,0.1772266733716168,11
barcelona,curvature,divergence_gap,-0.1259603697088158,-0.2509164014362747,-0.0364696451381553,0.21444675629811938,11
barcelona,curvature,share_HH,0.3104373106633002,0.3052676100776644,0.3182452272625214,0.012977617184857015,11
barcelona,form_swap,gini_everyday,0.5438652577381323,0.4989103338047629,0.5438652577381323,0.04495492393336942,2
barcelona,form_swap,gini_emergency,0.4179048880293165,0.3076949864085042,0.4179048880293165,0.11020990162081234,2
barcelona,form_swap,divergence_gap,-0.1259603697088158,-0.2361702713296281,-0.0810054457754463,0.1551648255541818,2
barcelona,form_swap,share_HH,0.3104373106633002,0.3110610713953359,0.3250357828395314,0.013974711444195487,2
barcelona,threshold,share_HH,0.3104373106633002,0.1260867854747279,0.4019257689585666,0.2758389834838387,4
berlin,curvature,gini_everyday,0.5577532847285077,0.4383041945944898,0.8064084210908339,0.36810422649634406,11
berlin,curvature,gini_emergency,0.4378854548636894,0.3391797330900808,0.540883214376698,0.20170348128661714,11
berlin,curvature,divergence_gap,-0.1198678298648183,-0.3685229662271445,-0.0004187397308004,0.36810422649634406,11
berlin,curvature,share_HH,0.3167729408260077,0.3152349176004835,0.3191458403777017,0.003910922777218218,11
berlin,form_swap,gini_everyday,0.5577532847285077,0.4259633822645806,0.5577532847285077,0.13178990246392713,2
berlin,form_swap,gini_emergency,0.4378854548636894,0.3099055915198758,0.4378854548636894,0.12797986334381362,2
berlin,form_swap,divergence_gap,-0.1198678298648183,-0.2478476932086318,0.0119220725991087,0.25976976580774047,2
berlin,form_swap,share_HH,0.3167729408260077,0.3147854501689739,0.3159437039283403,0.001158253759366401,2
berlin,threshold,share_HH,0.3167729408260077,0.1150205284222996,0.4190586287682451,0.30403810034594553,4
bilbao,curvature,gini_everyday,0.5701058090274849,0.4820453024030879,0.7123781925864662,0.23033289018337827,11
