typology,n_cells,population,population_share,unclassified_pop_share,threshold
LL,29798,604807.4528775008,0.6240870269846889,0.04084499878522905,0.75
LH,18050,121791.95306059252,0.12567434070895778,0.04084499878522905,0.75
HL,42139,121757.98908177658,0.12563929405326105,0.04084499878522905,0.75
HH,84945,120750.16005888511,0.12459933825309234,0.04084499878522905,0.75
